Label,Strike Groups,ID,Cutpoints and Bicomponents,G&F Coordinator,G&F Itinerant,G&F Representative,G&F Gatekeeper,G&F Liason,G&F Total,Undirected G&F Total,Burt's Autonomy
Xavier,3,1,4,0,0,0,0,0,0,0,0.046875
Utrecht,3,2,2,8,0,0,0,0,8,8,0.595052083
Frank,2,3,0,0,0,0,0,0,0,0,0
Domingo,1,4,3,0,0,0,0,0,0,0,0.134259259
Norm,3,5,5,18,0,5,5,0,28,23,0.802083333
Hal,2,6,1,2,0,0,0,0,2,2,0.464438776
Russ,3,7,2,4,0,0,0,0,4,4,0.517746914
Karl,2,8,1,0,0,2,2,0,4,2,0.531358025
Bob,2,9,5,14,0,10,10,2,36,26,0.761519274
Quint,3,10,2,4,0,0,0,0,4,4,0.517746914
Wendle,3,11,4,0,0,0,0,0,0,0,0.046875
Ozzie,3,12,1,0,0,1,1,0,2,1,0.5
Ike,2,13,1,4,0,0,0,0,4,4,0.493764172
Ted,3,14,2,2,0,0,0,0,2,2,0.5
Sam,3,15,5,8,0,0,0,0,8,8,0.536024306
Vern,3,16,2,2,0,0,0,0,2,2,0.5
Gill,2,17,5,10,0,0,0,0,10,10,0.673888889
Lanny,2,18,1,2,0,0,0,0,2,2,0.43787352
Mike,2,19,1,0,0,0,0,0,0,0,0.229024943
Carlos,1,20,3,0,0,0,0,0,0,0,0.134259259
Alejandro,1,21,5,0,0,3,3,0,6,3,0.416666667
Paul,3,22,2,2,0,0,0,0,2,2,0.5
Eduardo,1,23,3,0,0,0,0,0,0,0,0.134259259
John,2,24,1,12,0,0,0,0,12,12,0.581899093
