Source,Target,Weight,Relation
BERTHOLD,MARK,3,Blame
BERTHOLD,AMAND,1,Blame
BERTHOLD,ELIAS,2,Blame
BERTHOLD,SIMPLICIUS,1,Blame
PETER,GREGORY,3,Blame
PETER,HUGH,2,Blame
PETER,MARK,1,Blame
LOUIS,HUGH,1,Blame
LOUIS,ELIAS,2,Blame
LOUIS,SIMPLICIUS,3,Blame
VICTOR,BASIL,1,Blame
VICTOR,ELIAS,2,Blame
VICTOR,SIMPLICIUS,3,Blame
WINFRID,HUGH,2,Blame
WINFRID,ELIAS,1,Blame
WINFRID,SIMPLICIUS,3,Blame
JOHN_BOSCO,LOUIS,2,Blame
JOHN_BOSCO,BASIL,3,Blame
JOHN_BOSCO,SIMPLICIUS,1,Blame
GREGORY,BASIL,3,Blame
HUGH,PETER,3,Blame
HUGH,LOUIS,2,Blame
HUGH,BASIL,1,Blame
BONIFACE,PETER,1,Blame
BONIFACE,AMAND,3,Blame
BONIFACE,BASIL,2,Blame
BONIFACE,SIMPLICIUS,1,Blame
MARK,BERTHOLD,1,Blame
MARK,PETER,2,Blame
MARK,BASIL,3,Blame
ALBERT,PETER,3,Blame
ALBERT,AMAND,1,Blame
ALBERT,BASIL,2,Blame
ALBERT,ELIAS,2,Blame
ALBERT,SIMPLICIUS,2,Blame
AMAND,GREGORY,1,Blame
AMAND,ELIAS,2,Blame
AMAND,SIMPLICIUS,3,Blame
BASIL,PETER,3,Blame
BASIL,GREGORY,2,Blame
BASIL,HUGH,1,Blame
