Source	Target	Weight	Relation
AMBROSE	BASIL	3	Dislike
AMBROSE	ELIAS	2	Dislike
AMBROSE	SIMPLICIUS	1	Dislike
BERTHOLD	GREGORY	1	Dislike
BERTHOLD	MARK	2	Dislike
BERTHOLD	BASIL	3	Dislike
BERTHOLD	ELIAS	2	Dislike
PETER	JOHN_BOSCO	2	Dislike
PETER	GREGORY	3	Dislike
PETER	HUGH	1	Dislike
LOUIS	JOHN_BOSCO	1	Dislike
LOUIS	GREGORY	3	Dislike
LOUIS	BASIL	2	Dislike
VICTOR	GREGORY	3	Dislike
VICTOR	HUGH	1	Dislike
VICTOR	BASIL	2	Dislike
JOHN_BOSCO	ROMUALD	1	Dislike
JOHN_BOSCO	GREGORY	2	Dislike
JOHN_BOSCO	MARK	3	Dislike
GREGORY	PETER	3	Dislike
GREGORY	VICTOR	2	Dislike
GREGORY	AMAND	1	Dislike
HUGH	PETER	3	Dislike
HUGH	VICTOR	2	Dislike
HUGH	ELIAS	1	Dislike
BONIFACE	PETER	1	Dislike
BONIFACE	AMAND	3	Dislike
BONIFACE	BASIL	2	Dislike
MARK	BERTHOLD	2	Dislike
MARK	PETER	3	Dislike
MARK	VICTOR	1	Dislike
ALBERT	PETER	3	Dislike
ALBERT	BASIL	1	Dislike
ALBERT	ELIAS	2	Dislike
AMAND	BERTHOLD	2	Dislike
AMAND	WINFRID	1	Dislike
AMAND	GREGORY	3	Dislike
BASIL	BERTHOLD	2	Dislike
BASIL	PETER	3	Dislike
BASIL	GREGORY	2	Dislike
BASIL	ALBERT	1	Dislike
ELIAS	BERTHOLD	3	Dislike
ELIAS	PETER	1	Dislike
ELIAS	VICTOR	2	Dislike
SIMPLICIUS	ROMUALD	2	Dislike
SIMPLICIUS	PETER	1	Dislike
SIMPLICIUS	VICTOR	3	Dislike
