Source,Target,Weight,Relation
BONAVENTURE,AMBROSE,1,High Esteem
BONAVENTURE,PETER,3,High Esteem
BONAVENTURE,LOUIS,2,High Esteem
AMBROSE,PETER,3,High Esteem
AMBROSE,VICTOR,2,High Esteem
AMBROSE,JOHN_BOSCO,1,High Esteem
BERTHOLD,PETER,3,High Esteem
BERTHOLD,LOUIS,2,High Esteem
PETER,ROMUALD,2,High Esteem
PETER,BERTHOLD,1,High Esteem
PETER,LOUIS,3,High Esteem
LOUIS,BONAVENTURE,2,High Esteem
LOUIS,AMBROSE,3,High Esteem
VICTOR,BONAVENTURE,1,High Esteem
VICTOR,BERTHOLD,2,High Esteem
VICTOR,PETER,3,High Esteem
WINFRID,JOHN_BOSCO,3,High Esteem
WINFRID,GREGORY,2,High Esteem
WINFRID,HUGH,1,High Esteem
JOHN_BOSCO,BONAVENTURE,1,High Esteem
JOHN_BOSCO,VICTOR,3,High Esteem
JOHN_BOSCO,WINFRID,2,High Esteem
GREGORY,BONAVENTURE,1,High Esteem
GREGORY,VICTOR,2,High Esteem
GREGORY,JOHN_BOSCO,3,High Esteem
HUGH,WINFRID,1,High Esteem
HUGH,JOHN_BOSCO,3,High Esteem
HUGH,GREGORY,2,High Esteem
HUGH,BONIFACE,2,High Esteem
BONIFACE,JOHN_BOSCO,1,High Esteem
BONIFACE,GREGORY,3,High Esteem
BONIFACE,HUGH,2,High Esteem
MARK,WINFRID,1,High Esteem
MARK,GREGORY,3,High Esteem
MARK,BONIFACE,1,High Esteem
MARK,ALBERT,2,High Esteem
ALBERT,WINFRID,1,High Esteem
ALBERT,GREGORY,3,High Esteem
ALBERT,BONIFACE,2,High Esteem
ALBERT,MARK,2,High Esteem
AMAND,BONAVENTURE,3,High Esteem
AMAND,LOUIS,1,High Esteem
AMAND,MARK,2,High Esteem
BASIL,JOHN_BOSCO,3,High Esteem
BASIL,AMAND,2,High Esteem
BASIL,ELIAS,1,High Esteem
BASIL,SIMPLICIUS,1,High Esteem
ELIAS,GREGORY,1,High Esteem
ELIAS,AMAND,1,High Esteem
ELIAS,BASIL,2,High Esteem
ELIAS,SIMPLICIUS,3,High Esteem
SIMPLICIUS,GREGORY,2,High Esteem
SIMPLICIUS,BASIL,3,High Esteem
SIMPLICIUS,ELIAS,1,High Esteem
