Source,Target,Weight,Relation
ROMUALD,BONAVENTURE,1,Liking 2
ROMUALD,PETER,3,Liking 2
ROMUALD,AMAND,2,Liking 2
BONAVENTURE,PETER,3,Liking 2
BONAVENTURE,LOUIS,1,Liking 2
BONAVENTURE,JOHN_BOSCO,2,Liking 2
AMBROSE,BONAVENTURE,1,Liking 2
AMBROSE,VICTOR,3,Liking 2
AMBROSE,WINFRID,2,Liking 2
BERTHOLD,AMBROSE,2,Liking 2
BERTHOLD,PETER,3,Liking 2
BERTHOLD,JOHN_BOSCO,1,Liking 2
PETER,BONAVENTURE,3,Liking 2
PETER,BERTHOLD,2,Liking 2
PETER,LOUIS,1,Liking 2
LOUIS,BONAVENTURE,3,Liking 2
LOUIS,PETER,2,Liking 2
LOUIS,ALBERT,1,Liking 2
VICTOR,ROMUALD,2,Liking 2
VICTOR,BERTHOLD,1,Liking 2
VICTOR,PETER,3,Liking 2
WINFRID,JOHN_BOSCO,3,Liking 2
WINFRID,GREGORY,1,Liking 2
WINFRID,HUGH,2,Liking 2
JOHN_BOSCO,BONAVENTURE,1,Liking 2
JOHN_BOSCO,VICTOR,3,Liking 2
JOHN_BOSCO,GREGORY,2,Liking 2
GREGORY,WINFRID,2,Liking 2
GREGORY,JOHN_BOSCO,3,Liking 2
GREGORY,BONIFACE,1,Liking 2
GREGORY,MARK,1,Liking 2
HUGH,WINFRID,1,Liking 2
HUGH,JOHN_BOSCO,3,Liking 2
HUGH,GREGORY,1,Liking 2
HUGH,BONIFACE,2,Liking 2
BONIFACE,BONAVENTURE,1,Liking 2
BONIFACE,JOHN_BOSCO,2,Liking 2
BONIFACE,GREGORY,3,Liking 2
BONIFACE,HUGH,1,Liking 2
MARK,JOHN_BOSCO,1,Liking 2
MARK,GREGORY,2,Liking 2
MARK,ALBERT,3,Liking 2
ALBERT,WINFRID,1,Liking 2
ALBERT,GREGORY,2,Liking 2
ALBERT,MARK,3,Liking 2
AMAND,BONAVENTURE,2,Liking 2
AMAND,MARK,1,Liking 2
AMAND,SIMPLICIUS,3,Liking 2
BASIL,JOHN_BOSCO,3,Liking 2
BASIL,ELIAS,1,Liking 2
BASIL,SIMPLICIUS,2,Liking 2
ELIAS,GREGORY,1,Liking 2
ELIAS,BASIL,2,Liking 2
ELIAS,SIMPLICIUS,3,Liking 2
SIMPLICIUS,GREGORY,1,Liking 2
SIMPLICIUS,AMAND,2,Liking 2
SIMPLICIUS,ELIAS,3,Liking 2
