Source,Target,Weight,Relation
BONAVENTURE,BASIL,1,Low Esteem
BONAVENTURE,ELIAS,3,Low Esteem
BONAVENTURE,SIMPLICIUS,2,Low Esteem
AMBROSE,AMAND,1,Low Esteem
AMBROSE,ELIAS,3,Low Esteem
AMBROSE,SIMPLICIUS,2,Low Esteem
BERTHOLD,VICTOR,1,Low Esteem
BERTHOLD,MARK,3,Low Esteem
BERTHOLD,BASIL,2,Low Esteem
BERTHOLD,ELIAS,2,Low Esteem
PETER,JOHN_BOSCO,2,Low Esteem
PETER,GREGORY,3,Low Esteem
PETER,HUGH,1,Low Esteem
LOUIS,JOHN_BOSCO,1,Low Esteem
LOUIS,GREGORY,3,Low Esteem
LOUIS,ALBERT,1,Low Esteem
LOUIS,BASIL,2,Low Esteem
VICTOR,HUGH,1,Low Esteem
VICTOR,ELIAS,2,Low Esteem
VICTOR,SIMPLICIUS,3,Low Esteem
JOHN_BOSCO,GREGORY,2,Low Esteem
JOHN_BOSCO,MARK,3,Low Esteem
JOHN_BOSCO,BASIL,1,Low Esteem
GREGORY,PETER,3,Low Esteem
GREGORY,AMAND,1,Low Esteem
GREGORY,BASIL,2,Low Esteem
HUGH,PETER,2,Low Esteem
HUGH,LOUIS,2,Low Esteem
HUGH,AMAND,3,Low Esteem
HUGH,ELIAS,1,Low Esteem
HUGH,SIMPLICIUS,1,Low Esteem
BONIFACE,PETER,3,Low Esteem
BONIFACE,LOUIS,1,Low Esteem
BONIFACE,BASIL,2,Low Esteem
BONIFACE,ELIAS,1,Low Esteem
BONIFACE,SIMPLICIUS,1,Low Esteem
MARK,BERTHOLD,3,Low Esteem
MARK,PETER,2,Low Esteem
MARK,VICTOR,2,Low Esteem
MARK,BASIL,2,Low Esteem
MARK,ELIAS,1,Low Esteem
ALBERT,PETER,3,Low Esteem
ALBERT,BASIL,2,Low Esteem
ALBERT,ELIAS,2,Low Esteem
ALBERT,SIMPLICIUS,1,Low Esteem
AMAND,BERTHOLD,3,Low Esteem
AMAND,GREGORY,2,Low Esteem
AMAND,BASIL,1,Low Esteem
BASIL,BERTHOLD,2,Low Esteem
BASIL,PETER,3,Low Esteem
BASIL,GREGORY,1,Low Esteem
ELIAS,BERTHOLD,3,Low Esteem
ELIAS,PETER,2,Low Esteem
ELIAS,VICTOR,1,Low Esteem
SIMPLICIUS,ROMUALD,1,Low Esteem
SIMPLICIUS,BERTHOLD,2,Low Esteem
SIMPLICIUS,PETER,2,Low Esteem
SIMPLICIUS,VICTOR,3,Low Esteem
