Source,Target,Weight,Relation
BONAVENTURE,BASIL,1,Negative Influence
BONAVENTURE,ELIAS,3,Negative Influence
BONAVENTURE,SIMPLICIUS,2,Negative Influence
AMBROSE,WINFRID,1,Negative Influence
AMBROSE,ELIAS,3,Negative Influence
AMBROSE,SIMPLICIUS,2,Negative Influence
BERTHOLD,MARK,3,Negative Influence
BERTHOLD,ELIAS,2,Negative Influence
BERTHOLD,SIMPLICIUS,1,Negative Influence
PETER,JOHN_BOSCO,2,Negative Influence
PETER,GREGORY,3,Negative Influence
PETER,HUGH,1,Negative Influence
LOUIS,MARK,3,Negative Influence
LOUIS,ELIAS,1,Negative Influence
LOUIS,SIMPLICIUS,2,Negative Influence
VICTOR,WINFRID,1,Negative Influence
VICTOR,ALBERT,3,Negative Influence
VICTOR,AMAND,2,Negative Influence
JOHN_BOSCO,ROMUALD,2,Negative Influence
JOHN_BOSCO,ALBERT,1,Negative Influence
JOHN_BOSCO,SIMPLICIUS,3,Negative Influence
GREGORY,PETER,3,Negative Influence
GREGORY,AMAND,2,Negative Influence
HUGH,PETER,2,Negative Influence
HUGH,AMAND,3,Negative Influence
HUGH,ELIAS,1,Negative Influence
HUGH,SIMPLICIUS,1,Negative Influence
BONIFACE,PETER,3,Negative Influence
BONIFACE,AMAND,2,Negative Influence
BONIFACE,BASIL,1,Negative Influence
MARK,BERTHOLD,3,Negative Influence
MARK,PETER,2,Negative Influence
MARK,VICTOR,2,Negative Influence
MARK,BASIL,2,Negative Influence
MARK,ELIAS,1,Negative Influence
ALBERT,PETER,3,Negative Influence
ALBERT,LOUIS,2,Negative Influence
ALBERT,BASIL,1,Negative Influence
AMAND,BERTHOLD,2,Negative Influence
AMAND,WINFRID,1,Negative Influence
AMAND,GREGORY,3,Negative Influence
BASIL,BERTHOLD,2,Negative Influence
BASIL,PETER,3,Negative Influence
BASIL,GREGORY,1,Negative Influence
ELIAS,BERTHOLD,3,Negative Influence
ELIAS,PETER,2,Negative Influence
ELIAS,VICTOR,1,Negative Influence
SIMPLICIUS,BERTHOLD,1,Negative Influence
SIMPLICIUS,PETER,3,Negative Influence
SIMPLICIUS,LOUIS,2,Negative Influence
