Source,Target,Weight,Relation
BONAVENTURE,PETER,3,Positive Influence
BONAVENTURE,LOUIS,2,Positive Influence
BONAVENTURE,GREGORY,1,Positive Influence
AMBROSE,PETER,1,Positive Influence
AMBROSE,JOHN_BOSCO,3,Positive Influence
AMBROSE,GREGORY,2,Positive Influence
BERTHOLD,AMBROSE,2,Positive Influence
BERTHOLD,PETER,3,Positive Influence
BERTHOLD,GREGORY,1,Positive Influence
PETER,ROMUALD,2,Positive Influence
PETER,BERTHOLD,1,Positive Influence
PETER,LOUIS,3,Positive Influence
LOUIS,BONAVENTURE,3,Positive Influence
LOUIS,AMBROSE,2,Positive Influence
LOUIS,PETER,1,Positive Influence
VICTOR,AMBROSE,1,Positive Influence
VICTOR,PETER,3,Positive Influence
VICTOR,LOUIS,2,Positive Influence
VICTOR,JOHN_BOSCO,2,Positive Influence
WINFRID,JOHN_BOSCO,3,Positive Influence
WINFRID,GREGORY,2,Positive Influence
WINFRID,MARK,1,Positive Influence
JOHN_BOSCO,WINFRID,2,Positive Influence
JOHN_BOSCO,GREGORY,3,Positive Influence
JOHN_BOSCO,MARK,1,Positive Influence
GREGORY,WINFRID,2,Positive Influence
GREGORY,JOHN_BOSCO,3,Positive Influence
GREGORY,MARK,1,Positive Influence
HUGH,WINFRID,1,Positive Influence
HUGH,JOHN_BOSCO,3,Positive Influence
HUGH,GREGORY,2,Positive Influence
HUGH,BONIFACE,2,Positive Influence
BONIFACE,GREGORY,3,Positive Influence
BONIFACE,HUGH,2,Positive Influence
BONIFACE,MARK,1,Positive Influence
MARK,WINFRID,1,Positive Influence
MARK,GREGORY,3,Positive Influence
MARK,ALBERT,2,Positive Influence
ALBERT,GREGORY,3,Positive Influence
ALBERT,BONIFACE,1,Positive Influence
ALBERT,MARK,2,Positive Influence
AMAND,BONAVENTURE,3,Positive Influence
AMAND,LOUIS,1,Positive Influence
AMAND,MARK,2,Positive Influence
BASIL,JOHN_BOSCO,3,Positive Influence
BASIL,AMAND,2,Positive Influence
BASIL,ELIAS,1,Positive Influence
ELIAS,GREGORY,1,Positive Influence
ELIAS,BASIL,2,Positive Influence
ELIAS,SIMPLICIUS,3,Positive Influence
SIMPLICIUS,GREGORY,3,Positive Influence
SIMPLICIUS,BASIL,2,Positive Influence
SIMPLICIUS,ELIAS,1,Positive Influence
