Source,Target,Weight,Relation
BERTHOLD,AMBROSE,1,Praise
BERTHOLD,PETER,3,Praise
BERTHOLD,LOUIS,2,Praise
PETER,ROMUALD,2,Praise
PETER,BERTHOLD,1,Praise
PETER,LOUIS,3,Praise
LOUIS,PETER,3,Praise
LOUIS,VICTOR,2,Praise
LOUIS,ALBERT,1,Praise
VICTOR,BERTHOLD,2,Praise
VICTOR,PETER,3,Praise
VICTOR,LOUIS,1,Praise
JOHN_BOSCO,WINFRID,2,Praise
JOHN_BOSCO,HUGH,3,Praise
JOHN_BOSCO,ELIAS,1,Praise
GREGORY,WINFRID,2,Praise
GREGORY,JOHN_BOSCO,3,Praise
GREGORY,MARK,1,Praise
HUGH,JOHN_BOSCO,3,Praise
HUGH,GREGORY,3,Praise
HUGH,BONIFACE,2,Praise
HUGH,ALBERT,1,Praise
BONIFACE,JOHN_BOSCO,1,Praise
BONIFACE,GREGORY,3,Praise
BONIFACE,HUGH,2,Praise
MARK,GREGORY,3,Praise
MARK,BONIFACE,1,Praise
MARK,ALBERT,2,Praise
ALBERT,GREGORY,2,Praise
ALBERT,BONIFACE,1,Praise
ALBERT,MARK,3,Praise
AMAND,BONAVENTURE,3,Praise
AMAND,LOUIS,2,Praise
BASIL,JOHN_BOSCO,3,Praise
BASIL,AMAND,2,Praise
BASIL,ELIAS,1,Praise
SIMPLICIUS,JOHN_BOSCO,1,Praise
SIMPLICIUS,GREGORY,1,Praise
SIMPLICIUS,ELIAS,1,Praise
