Source,Target,Relationship
4 Stroke,Frosty,Superior-Subordinate
4 Stroke,O.G.,Superior-Subordinate
Blood Messiah,Shadow,Superior-Subordinate
Animal,Shadow,Superior-Subordinate
Animal,Snake,Superior-Subordinate
Animal,Crusier,Superior-Subordinate
Ant,O.G.,Superior-Subordinate
Ant,Little Red,Superior-Subordinate
Baby Face,Clown,Superior-Subordinate
Baby Face,The Dentist,Superior-Subordinate
Bananas,O.G.,Superior-Subordinate
The Barber,Bloodhound,Superior-Subordinate
Bat G.,Bloodhound,Superior-Subordinate
Bat G.,Goldie,Superior-Subordinate
Bat G.,O.G.,Superior-Subordinate
Bat G.,Smiley,Superior-Subordinate
Book Collector,O.G.,Superior-Subordinate
Boots,Freckles,Superior-Subordinate
Bloodhound,The Dentist,Superior-Subordinate
Bloodhound,Fast Trigger,Superior-Subordinate
Bloodhound,Frosty,Superior-Subordinate
Bloodhound,O.G.,Superior-Subordinate
Blue Eyes,O.G.,Superior-Subordinate
Bow Wow,O.G.,Superior-Subordinate
Dapper Don,Freckles,Superior-Subordinate
The Dentist,O.G.,Superior-Subordinate
The Dentist,Little Red,Superior-Subordinate
Enforcer,Freckles,Superior-Subordinate
Fast Trigger,O.G.,Superior-Subordinate
Slingshot,O.G.,Superior-Subordinate
Frosty,O.G.,Superior-Subordinate
Goldie,O.G.,Superior-Subordinate
O.G.,Smiley,Superior-Subordinate
O.G.,Smoke,Superior-Subordinate
O.G.,Snake,Superior-Subordinate
O.G.,Crusier,Superior-Subordinate
Scratch,Little Red,Superior-Subordinate
Shadow,Crusier,Superior-Subordinate
