Source,Target,Weight
1,16,1
2,17,1
2,23,1
2,28,1
2,33,1
2,40,1
2,41,1
2,51,1
2,72,1
2,75,1
4,13,2
4,20,1
4,21,3
4,27,1
4,28,1
4,29,1
4,34,3
4,35,1
4,36,1
4,49,1
4,53,3
4,54,1
4,60,2
4,65,2
4,70,1
4,73,1
4,75,1
4,76,1
4,78,1
4,79,1
6,23,1
6,33,1
6,40,1
6,51,1
6,72,1
7,23,2
7,44,1
7,59,2
7,61,2
8,10,1
8,11,1
8,12,1
8,19,1
8,23,1
8,24,1
8,25,1
8,35,1
8,37,1
8,38,1
8,42,1
8,43,1
8,45,1
8,59,3
8,60,1
8,68,3
8,70,1
8,73,2
8,74,1
8,77,2
8,78,1
10,12,1
10,19,1
10,23,2
10,24,1
10,25,1
10,35,1
10,37,1
10,38,2
10,42,1
10,43,1
10,45,1
10,59,1
10,68,1
10,73,1
10,74,1
10,77,1
11,68,1
12,19,1
12,23,1
12,24,1
12,25,1
12,35,1
12,37,1
12,38,1
12,42,1
12,43,1
12,45,1
12,59,1
12,68,1
12,73,1
12,74,1
12,77,1
13,21,1
13,23,1
13,34,1
13,39,2
13,45,2
13,46,1
13,47,2
13,48,1
13,53,1
13,56,1
13,59,4
13,60,4
13,73,1
13,78,1
16,53,1
17,23,1
17,28,1
17,33,1
17,40,1
17,41,1
17,51,1
17,72,1
17,75,1
18,23,1
18,24,1
18,46,1
18,50,2
18,59,2
18,64,2
18,69,1
19,23,1
19,24,2
19,25,1
19,35,1
19,37,3
19,38,1
19,42,1
19,43,1
19,45,3
19,59,1
19,66,1
19,68,1
19,70,1
19,73,2
19,74,3
19,77,2
20,21,1
20,27,1
20,34,1
20,53,1
20,54,1
20,65,1
20,70,1
20,76,1
20,79,1
21,27,1
21,29,1
21,34,1
21,35,2
21,36,1
21,53,2
21,54,1
21,60,1
21,65,1
21,70,1
21,76,1
21,79,1
22,23,1
22,33,1
22,44,1
22,51,1
22,52,1
22,59,1
22,67,1
22,71,1
22,72,1
23,24,2
23,25,1
23,26,2
23,28,1
23,33,3
23,35,1
23,37,1
23,38,3
23,39,1
23,40,2
23,41,1
23,42,1
23,43,1
23,44,2
23,45,2
23,46,4
23,50,1
23,51,3
23,52,1
23,59,8
23,61,2
23,64,1
23,67,1
23,68,2
23,69,1
23,71,1
23,72,3
23,73,1
23,74,1
23,75,1
23,77,1
23,78,1
24,25,1
24,35,1
24,37,2
24,38,1
24,42,1
24,43,1
24,45,2
24,46,1
24,50,1
24,59,2
24,64,1
24,68,1
24,69,1
24,73,1
24,74,2
24,77,1
25,35,1
25,37,1
25,38,1
25,42,1
25,43,1
25,45,1
25,59,1
25,68,1
25,73,1
25,74,1
25,77,1
26,38,1
26,46,1
26,59,2
26,61,1
27,34,1
27,53,1
27,54,1
27,65,1
27,70,1
27,76,1
27,79,1
28,33,1
28,34,1
28,40,1
28,41,1
28,49,1
28,51,1
28,53,1
28,65,1
28,72,1
28,75,2
29,35,1
29,36,1
29,43,1
29,45,1
29,53,1
29,60,1
29,62,1
29,66,1
33,40,2
33,41,1
33,44,1
33,51,3
33,52,1
33,59,1
33,67,1
33,71,1
33,72,3
33,75,1
34,49,1
34,53,2
34,54,1
34,60,1
34,65,2
34,70,1
34,73,1
34,75,1
34,76,1
34,78,1
34,79,1
35,36,1
35,37,1
35,38,1
35,42,1
35,43,1
35,45,1
35,53,1
35,59,1
35,60,1
35,68,1
35,73,1
35,74,1
35,77,1
36,53,1
36,60,1
37,38,1
37,42,1
37,43,2
37,45,4
37,59,1
37,66,1
37,68,1
37,70,1
37,73,2
37,74,3
37,77,2
38,42,1
38,43,1
38,45,1
38,46,1
38,59,1
38,68,1
38,73,1
38,74,1
38,77,1
38,78,1
39,45,2
39,46,1
39,56,1
39,59,1
40,41,1
40,51,2
40,72,2
40,75,1
41,51,1
41,72,1
41,75,1
42,43,1
42,45,1
42,59,1
42,68,1
42,73,1
42,74,1
42,77,1
43,45,3
43,59,1
43,62,1
43,66,1
43,68,1
43,73,1
43,74,1
43,77,1
44,51,1
44,52,1
44,59,2
44,61,1
44,67,1
44,71,1
44,72,1
45,46,1
45,56,1
45,59,4
45,62,1
45,63,1
45,66,3
45,68,1
45,70,1
45,73,2
45,74,3
45,77,5
45,78,1
46,50,1
46,59,2
46,64,1
46,69,1
47,59,1
47,60,1
49,53,1
49,65,1
49,75,1
50,59,3
50,64,2
50,69,1
51,52,1
51,59,1
51,67,1
51,71,1
51,72,3
51,75,1
52,59,1
52,67,1
52,71,1
52,72,1
53,54,1
53,59,1
53,60,2
53,65,2
53,70,1
53,75,1
53,76,1
53,79,1
54,65,1
54,70,1
54,76,1
54,79,1
59,60,3
59,61,3
59,64,2
59,66,1
59,67,1
59,68,2
59,69,1
59,70,1
59,71,1
59,72,1
59,73,2
59,74,1
59,77,3
59,78,1
60,73,1
60,78,1
62,66,1
63,78,1
64,69,1
65,70,1
65,75,1
65,76,1
65,79,1
66,70,1
66,73,1
66,74,1
66,77,2
67,71,1
67,72,1
68,73,1
68,74,1
68,77,1
68,78,1
70,73,2
70,74,1
70,76,1
70,77,2
70,79,1
71,72,1
72,75,1
73,74,2
73,77,3
73,78,1
74,77,2
76,79,1
